Name,Birth Year,French Wikipedia Link
André Halbout,1900,https://fr.wikipedia.org/wiki/Andr%C3%A9_Halbout
Emmanuel d'Astier de La Vigerie,1900,https://fr.wikipedia.org/wiki/Emmanuel_d%27Astier_de_La_Vigerie
François de Menthon,1900,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_de_Menthon
Pierre Romani,1900,https://fr.wikipedia.org/wiki/Pierre_Romani
Jean Pourtier,1900,https://fr.wikipedia.org/wiki/Jean-Antoine_Pourtier
Florimond Girard,1900,https://fr.wikipedia.org/wiki/Florimond_Girard
René Stackler,1900,https://fr.wikipedia.org/wiki/Ren%C3%A9_Stackler
Robert Lacoste,1900,https://fr.wikipedia.org/wiki/Robert_Lacoste_(syndicaliste)
Edmond Barrachin,1900,https://fr.wikipedia.org/wiki/Edmond_Barrachin
Robert Lespagnol,1900,https://fr.wikipedia.org/wiki/Robert_Lespagnol
Jean de Gouyon,1900,https://fr.wikipedia.org/wiki/Jean_de_Gouyon
Gérard Dumas de Vaulx,1900,https://fr.wikipedia.org/wiki/G%C3%A9rard_Dumas_de_Vaulx
Maurice Carrier,1900,https://fr.wikipedia.org/wiki/Maurice_Carrier_(homme_politique)
René Chauvet,1900,
Albert Rigal,1900,https://fr.wikipedia.org/wiki/Albert_Rigal
Jean Mazard,1900,
Max Bonnafous,1900,https://fr.wikipedia.org/wiki/Max_Bonnafous
André Lemaire,1900,https://fr.wikipedia.org/wiki/Andr%C3%A9_Lemaire_(homme_politique)
Fernand Legagneux,1900,https://fr.wikipedia.org/wiki/Fernand_Legagneux
Georges Morand,1900,https://fr.wikipedia.org/wiki/Georges_Morand
Raoul Tracol,1900,https://fr.wikipedia.org/wiki/Raoul_Tracol
Guy Chavanne,1900,https://fr.wikipedia.org/wiki/Guy_Chavanne
Ladislas du Luart,1900,https://fr.wikipedia.org/wiki/Ladislas_du_Luart
René Mammonat,1900,https://fr.wikipedia.org/wiki/Ren%C3%A9_Mammonat
Claudius Buard,1900,https://fr.wikipedia.org/wiki/Claudius_Buard
Jules Hyvrard,1900,https://fr.wikipedia.org/wiki/Jules_Hyvrard
Jean Milcent,1900,https://fr.wikipedia.org/wiki/Jean_Milcent
Jean Lhospied,1900,https://fr.wikipedia.org/wiki/Jean_Lhospied
Jacques Kayser,1900,https://fr.wikipedia.org/wiki/Jacques_Kayser
Henri Terré,1900,https://fr.wikipedia.org/wiki/Henri_Terr%C3%A9
Jacques Rastoin,1900,https://fr.wikipedia.org/wiki/Jacques_Rastoin
Alexandre Baurens,1900,https://fr.wikipedia.org/wiki/Alexandre_Baurens
Henri Gallet,1900,"https://fr.wikipedia.org/wiki/Henri_Gallet_(homme_politique,_1900-1996)"
Lucien Perdereau,1900,https://fr.wikipedia.org/wiki/Lucien_Perdereau
Édouard Alliot,1900,https://fr.wikipedia.org/wiki/%C3%89douard_Alliot
Maximilien Zigliara,1900,https://fr.wikipedia.org/wiki/Maximilien_Zigliara
Max Hymans,1900,https://fr.wikipedia.org/wiki/Max_Hymans
Solange Lamblin,1900,https://fr.wikipedia.org/wiki/Solange_Lamblin
Jean-Yves Chapalain,1900,https://fr.wikipedia.org/wiki/Jean-Yves_Chapalain
Evžen Fried,1900,https://fr.wikipedia.org/wiki/Eugen_Fried
Marcel Ribère,1900,https://fr.wikipedia.org/wiki/Marcel_Rib%C3%A8re
Frédéric Joliot-Curie,1900,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Joliot-Curie
Henry du Moulin de Labarthète,1900,https://fr.wikipedia.org/wiki/Henry_du_Moulin_de_Labarth%C3%A8te
Gabriel Burgat,1900,https://fr.wikipedia.org/wiki/Gabriel_Burgat
Léon Frot,1900,https://fr.wikipedia.org/wiki/L%C3%A9on_Frot
René Ithurbide,1900,https://fr.wikipedia.org/wiki/Ren%C3%A9_Ithurbide
Louis Périllier,1900,https://fr.wikipedia.org/wiki/Louis_P%C3%A9rillier
Jean-Raymond Guyon,1900,https://fr.wikipedia.org/wiki/Jean-Raymond_Guyon
Augustin Malroux,1900,https://fr.wikipedia.org/wiki/Augustin_Malroux
Q135456253,1900,
André Dulin,1900,https://fr.wikipedia.org/wiki/Andr%C3%A9_Dulin
Roger Benenson,1900,https://fr.wikipedia.org/wiki/Roger_Benenson
René de Cassin de Kainlis,1900,
Richard Imbt,1900,https://fr.wikipedia.org/wiki/Richard_Imbt
Maurice Thorez,1900,https://fr.wikipedia.org/wiki/Maurice_Thorez
Roger Raulet,1900,https://fr.wikipedia.org/wiki/Roger_Raulet
Maurice Rochette,1900,https://fr.wikipedia.org/wiki/Maurice_Rochette
Maria Pacaut,1900,https://fr.wikipedia.org/wiki/Maria_Pacaut
Fernand Auberger,1900,https://fr.wikipedia.org/wiki/Fernand_Auberger
Eugène Cuif,1900,https://fr.wikipedia.org/wiki/Eug%C3%A8ne_Cuif
Fily Dabo Sissoko,1900,https://fr.wikipedia.org/wiki/Fily_Dabo_Sissoko
Sliman Belhabich,1900,
Paul Caron,1900,"https://fr.wikipedia.org/wiki/Paul_Caron_(homme_politique,_1900-1988)"
Gaston Bêchard,1900,https://fr.wikipedia.org/wiki/Gaston_B%C3%AAchard
Yvonne de Gaulle,1900,https://fr.wikipedia.org/wiki/Yvonne_de_Gaulle
Marcel Lebreton,1900,https://fr.wikipedia.org/wiki/Marcel_Lebreton
Robert Lattes,1900,https://fr.wikipedia.org/wiki/Robert_Lattes
Julien Airoldi,1900,https://fr.wikipedia.org/wiki/Julien_Airoldi
