QID,Name
Q2847923,André Halbout
Q536102,Emmanuel d'Astier de La Vigerie
Q315029,François de Menthon
Q3386851,Pierre Romani
Q21334292,Jean Pourtier
Q3074292,Florimond Girard
Q3426902,René Stackler
Q3435627,Robert Lacoste
Q3047735,Edmond Barrachin
Q19629781,Robert Lespagnol
Q3175440,Jean de Gouyon
Q95947517,Gérard Dumas de Vaulx
Q3300529,Maurice Carrier
Q11945257,René Chauvet
Q16026425,Albert Rigal
Q109968617,Jean Mazard
Q3302024,Max Bonnafous
Q20027633,André Lemaire
Q20204052,Fernand Legagneux
Q3103230,Georges Morand
Q16027273,Raoul Tracol
Q3121648,Guy Chavanne
Q3215953,Ladislas du Luart
Q20027776,René Mammonat
Q2978564,Claudius Buard
Q3188672,Jules Hyvrard
Q15613508,Jean Milcent
Q3173213,Jean Lhospied
Q41795563,Jacques Kayser
Q3132061,Henri Terré
Q116086,Jacques Rastoin
Q17350049,Alexandre Baurens
Q3131153,Henri Gallet
Q3265669,Lucien Perdereau
Q3579720,Édouard Alliot
Q21334364,Maximilien Zigliara
Q3302161,Max Hymans
Q16231243,Solange Lamblin
Q3170113,Jean-Yves Chapalain
Q3059546,Evžen Fried
Q16004095,Marcel Ribère
Q150989,Frédéric Joliot-Curie
Q3133218,Henry du Moulin de Labarthète
Q19845783,Gabriel Burgat
Q3270971,Léon Frot
Q19630059,René Ithurbide
Q3262973,Louis Périllier
Q3169882,Jean-Raymond Guyon
Q2871616,Augustin Malroux
Q135456253,Q135456253
Q2847686,André Dulin
Q3438683,Roger Benenson
Q106518917,René de Cassin de Kainlis
Q2149868,Richard Imbt
Q345408,Maurice Thorez
Q16673090,Roger Raulet
Q3301348,Maurice Rochette
Q3291016,Maria Pacaut
Q3069037,Fernand Auberger
Q3059792,Eugène Cuif
Q3072278,Fily Dabo Sissoko
Q19845772,Sliman Belhabich
Q3370809,Paul Caron
Q17485845,Gaston Bêchard
Q433393,Yvonne de Gaulle
Q3289118,Marcel Lebreton
Q28150976,Robert Lattes
Q3189333,Julien Airoldi
Q28150973,Gilbert Jean Frédéric Berger
Q3426137,René Duhourquet
Q2831547,Albert Schmitt
Q3573770,Yves Le Dluz
Q75805032,Gabriel Roche
Q3426403,René Jayr
Q2938877,Maurice Montel
Q20027619,Albert Marescaux
Q3289422,Marcel Stürmel
Q64824697,Édouard Delavenne
Q3052697,Emmanuel Fleury
Q59942700,Jean du Dresnay
Q2898802,Bernard de Coral
Q3103359,Georges Potut
Q2871547,Augustin Chauvet
Q2848502,André Rausch
Q950719,Jean-Marie Louvel
Q18744940,Maria Rabaté
Q2977698,Claude Lemaître-Basset
Q3469512,Salah Benacer
Q20027708,Jean Grassard
Q3426465,René Laniel
Q28150986,André Jean Godin
Q877804,Marcel Paul
Q15411356,Pierre Guérard
Q3103650,Georges Wodli
Q3175244,Jean de Bagneux
Q115717465,René Courtin
Q28150987,Robert Carlos Achille Nisse
Q16007059,Madeleine Laissac
Q2569191,Raymond Patenôtre
Q3069293,Fernand Perrot-Migeon
Q77938914,Charles Vancauwenberghe
Q893660,Boris Bazhanov
Q3265277,Lucie Guérin
Q125912715,Hyacinthe Belbéoc'h
Q3384212,Pierre Brun
Q27589514,Pierre Rouquès
Q3288739,Marcel Brégégère
Q3289399,Marcel Sendrail
Q16641584,Henri Jouffroy
Q28108621,Robert Pouille
Q3085307,François Martin
Q17350159,Edmond Ginestet
Q16010496,Victor Plantevin
Q3085394,François Monsarrat
Q20027768,Ramamonjy Raherivelo
Q20027684,Maurice Gérard
Q3121291,Gustave Philippon
Q4172347,Jean Duret
Q3301475,Maurice Tréand
Q3121323,Gustave Saussot
Q2377655,Volodymyr Kubijovyč
Q18744644,Georges Blachette
Q3434420,Robert Alloyer
Q16685217,Émile Janvier
Q27468599,Jean-Claude Raccurt
Q16025720,Georges Fouilland
Q2848330,André Morice
Q2848330,André Morice
Q3302226,Max Mathieu
Q3301270,Maurice Poirot
Q62749562,Raymond Delporte
Q28108592,Hilaire Perdon
Q3174665,Jean Sourbet
Q16231241,Guillaume Julia
Q15970419,Antoine Sérafini
Q3426071,René Debesson
Q2861761,Armand Bastit-St Martin
Q3185495,Joseph Pinvidic
Q2871537,Augustin Bordage
Q21294735,Madeleine Léo-Lagrange
Q3189393,Julien Brunhes
Q3302238,Max Monichon
Q2848399,André Parsal
Q3270494,Léo Lagrange
Q18744806,Dominique-Antoine Laurelli
Q20027738,Marcel Delrieu
Q17350190,René Icher
Q25397788,Daniel Haas
Q67218414,Louis Alleaume
Q3557125,Victor Arrighi
Q3184643,Joseph Bouteila
Q3387110,Pierre Thurotte
Q3265432,Lucien Coffin
Q3573719,Yves Jaouen
Q3426917,René Tamarelle
Q633010,Julián Gorkin
Q2898817,Bernard de La Rochefoucauld
Q3122276,Guy de Montgolfier
Q96464109,Louisa Mariello
Q5937023,Joseph Ho Ten You
Q63092776,Suzanne Rose Elosu
Q67656552,Eugène Bustin
Q3010437,César Collavéri
Q21334265,Gaston Hippolyte Coquel
Q19361020,Marceau Laurent
Q2847158,André Armengaud
Q2847200,André Bardon
Q17350714,Charles Lamarque-Cando
Q28155063,Florimond Gisclon
Q59457958,Jean Blavet
Q98769800,Gilles Fabry
Q289732,Étienne Hirsch
Q19630248,Henri Colonna
Q16011594,Léon Jean
Q16645433,Jean Charlot
Q3301007,Maurice Laporte
Q21294573,Charles Benoist
Q2842375,Ambroise Croizat
Q95575418,Jean Zuccarelli
Q3434701,Robert Bétolaud
Q16000180,André Bonnaire
Q21634491,Francis Cersot
Q2825216,Adrien Mabrut
Q17350819,Marcel Noël
Q2854040,Antoine Guitton
Q120775990,Jean Dagorn
Q134612808,Q134612808
Q3300649,Maurice Delaunay
Q20027651,Charles Sylvain Cros
Q2669405,Yves Bouthillier
Q2327528,Philippe Serre
Q439928,Germaine Poinso-Chapuis
Q17497033,Jules-Jean Ravel
Q3174991,Jean Veillet
Q531385,Gaston Palewski
Q3288999,Marcel Grimal
Q3130420,Henri-Louis Grimaud
Q3289446,Marcel Ulrici
Q543620,Jean Cristofol
Q3132103,Henri Ulver
Q28108548,Gabriel Jean Seynat
Q3309226,Michel Champleboux
Q3172035,Jean Florisson
Q3184659,Joseph Brayard
Q3383432,Pierre-Olivier Lapie
Q3386384,Pierre Muller
Q3260494,Louis-François Dubosc
Q3295212,Marthe Simard
Q2831091,Albert Dehen
Q3588569,Émile Hugues
Q381924,Jean Prouvé
Q16232422,Rose Zehner
Q15970396,Jacques Bianchini
Q314545,René Pleven
Q2958971,Charles Durand
Q17485879,Joseph Chatellier
Q3175586,Jean de Montgascon
Q3301450,Maurice Thiolas
Q17496949,Henri Joannon
Q2828087,Aimé Quinson
Q2841168,Amar Smaïl
Q641016,Olier Mordrel
Q3173967,Jean Philippot
Q3057175,Ernest Schaffner
Q2959583,Charles Laurent-Thouverey
Q3185235,Joseph Leccia
Q19358514,Antoine Lacroix
Q3302108,Max Fléchet
Q3176175,Jeanne Vigier
Q3173227,Jean Lionel-Pèlerin
Q3102176,Georges Altman
Q16526895,André Plantain
Q3085545,François Peugeot
Q2833947,Alexandre Parodi
Q3421131,Raymond Réthoré
Q2848984,Andrée Viénot
Q3371775,Paul Maridet
Q2833021,Alex Roubert
Q20204209,Maurice Finet
Q3371858,Paul Morane
Q162597,Henri Lefebvre
Q20027732,Louis-Désiré Marcou
Q116095,Léon David
Q63871944,Pierre Donzelot
Q431802,Jacques Benoist-Méchin
Q195511,Anne-Marie Trinquier
Q2848173,André Litaise
Q3124451,Géraud Jouve
Q2847242,André Beauguitte
Q2871147,Auguste Defrance
Q2848297,André Mercier
Q3172027,Jean Fleury
Q3069182,Fernand Grenier
Q3171045,Jean Bène
Q19360786,Armand Cachat
Q28108521,Jean Martineau
Q56741984,Fernand Bouad
Q3387161,Pierre Tricard-Graveron
Q745528,Claude Aveline
Q3439059,Roger Hagnauer
Q3093879,Gabriel Miossec
Q3557278,Victor Dupouy
Q90138568,Eugene Avinee
Q3371969,Paul Pauly
Q3074174,Florian Bruyas
Q94227375,Francisque Catherin
Q16026738,Pierre Dufour
Q2848300,André Messager
Q561255,Claude Autant-Lara
Q3263250,Louis Vallon
Q3386698,Pierre Prévost
Q3170440,Jean Aubin
Q21830722,Raymond Menand
Q481398,René Capitant
Q16638317,Gabriel Citerne
Q2871361,Auguste Pinton
Q461283,Pierre Villon
Q20027743,Marhoun Ferhat
Q3384014,Pierre Biquard
Q3426660,René Mourre
Q19606624,Mohamed Baouya
Q3434635,Robert Bouvard
Q17177006,Jean Dardé
Q3188868,Jules Ramarony
Q16026466,Paul Saint-Martin
Q2847392,André Bruneau
Q94833863,Marcel Marschall
Q20027716,Jules Castellani
Q822594,Louis Joxe
Q2847495,André Chareyre
Q3263036,Louis Roche-Defrance
Q2824859,Adolphe Legeay
Q17497031,Jean Pupat
Q2960217,Charles Serre
Q28107274,Georges Helluin
Q2853751,Antoine Béguère
Q3310861,Michel Sicre
Q17351004,Paul Vignaux
Q3104212,Germaine Pican
Q2853814,Antoine Colonna
Q195499,Mireille Dumont
Q2886041,Barthélémy Ott
Q3574003,Yves Villard
Q3069140,Fernand Esseul
Q3144891,Hélène de Suzannet
Q15970840,Louis Charvet
Q3171713,Jean Deshors
Q19358747,Félix Mayer
Q151164,André Malraux
Q15970402,Marcel Cherrier
Q88252876,Hubert Poignant
Q2364858,Eugène Van der Meersch
Q2848337,André Mutter
Q3426511,René Leduc
Q21334276,Henri Ledru
Q28150886,Jean Deltimple
Q12348195,Georges Salan
Q3158866,Jacques Faggianelli
Q3426223,René Fromage
Q95598313,René Tainon
Q3271009,Léon Goraguer
Q3384983,Pierre Ferri-Pisani
Q16638876,Georges Barillon
Q16232083,Maurice Georges
Q680897,Jean Mermoz
Q2156224,Robert-Jean Longuet
Q3102498,Georges Cogniot
Q3507063,Sylvain Maillols
Q3435401,Robert Hoeffel
Q19361013,Jean Lainé
Q16025638,Louis Dumat
Q61695338,Mohamed Ben Kaddour Bentaïeb
Q3265640,Lucien Milhau
Q3421006,Raymond Lindon
Q3425897,René Boudet
Q2978102,Claude Ruch
Q26270039,Yann Bricler
Q122615578,Renée Lehut
Q20027754,Mouaouia Bencherif
Q69663336,Paul Dupont
Q115324836,Paul Pierre-Charles
Q2420059,Adrien Langumier
Q2980575,Clément Bourne
Q15970435,Étienne de Raulin
Q17350519,Charles Courrier
Q3068535,Ferdinand Béghin
Q2853622,Antoine Avinin
Q3271192,Léon Mauvais
Q2834174,Alexandre de Fraissinette
Q480164,Gabriel Péri
Q299629,Léon M'ba
Q16798512,Pierre Marquand-Gairard
Q16026167,Adrien Mouton
Q14370433,Paul Aubry
Q16026837,Émile Hémain
Q4208275,Alexander Lvovich Kazembek
Q2835492,Alfred Tribert
Q3588509,Émile Fouchard
